CodeID	LitLen	Literal
1450		SPACE
1451		SPACE
1452		SPACE
1453		SPACE
1454		SPACE
1455		SPACE
1457		SPACE
1458		SPACE
1459		SPACE
1460		SPACE
1465	1	'N' [1]
1489	1	'2' [1]
1490	1	'V' [1]
1493		+10
1495		0
1496		0
1498	1	'N' [1]
1503	8	'HBNKACCT' [8]
1504	6	'      ' [6]
1505	2	'  ' [2]
1506		0
1507		0
1508	2	'00' [2]
1511		0
1512		0
1527	1	'.' [1]
1529	1	'.' [1]
1537	8	'ABNDPROC' [8]
1539	6	'INQACC' [6]
1545		99999999
1551		SPACES
1551		LOW-VALUES
1552	1	'N' [1]
1567	1	'Y' [1]
1577		0
1587	1	':' [1]
1589	4	'HRAC' [4]
1592	44	'RAD010 -Failure when attempting to OPEN DB2 ' [44]
1592	23	'CURSOR. Check SQLCODE. ' [23]
1592	8	'SQLCODE=' [8]
1594	43	'Failure when attempting to open DB2 CURSOR ' [43]
1594	26	'ACC-CURSOR. With SQL code=' [26]
1596	4	'HRAC' [4]
1600		0
1610	1	':' [1]
1612	4	'HRAC' [4]
1615	45	'RAD010 -Failure when attempting to CLOSE DB2 ' [45]
1615	33	'CURSOR (ACC-CUSOR). Check SQLCODE' [33]
1615	8	'SQLCODE=' [8]
1617	47	'Failure when attempting to close the DB2 CURSOR' [47]
1617	27	' ACC-CURSOR. With SQL code=' [27]
1619	4	'HRAC' [4]
1626		+100
1632		0
1643	1	':' [1]
1645	4	'HRAC' [4]
1648	45	'FD010 -Failure when attempting to FETCH from ' [45]
1648	38	'DB2 CURSOR (ACC-CURSOR). Check SQLCODE' [38]
1648	8	'SQLCODE=' [8]
1650	46	'Failure when attempting to FETCH from the DB2 ' [46]
1650	33	'CURSOR ACC-CURSOR. With SQL code=' [33]
1651	4	'HRAC' [4]
1685		923
1686	20	'DB2 Connection lost ' [20]
1688	20	'Not Storm Drain     ' [20]
1691	20	'Not Storm Drain     ' [20]
1692	41	'INQACC: Check-For-Storm-Drain-DB2: Storm ' [41]
1692	17	'Drain condition (' [17]
1692	2	') ' [2]
1692	14	'has been met (' [14]
1692	2	').' [2]
1703	4	'AD2Z' [4]
1705	41	'DB2 DEADLOCK DETECTED IN INQACC, SQLCODE=' [41]
1706	25	'DB2 DEADLOCK FOR ACCOUNT ' [25]
1707	9	'SQLSTATE=' [9]
1707	10	',SQLERRMC=' [10]
1707		1
1707	12	',SQLERRD(1)=' [12]
1707	12	',SQLERRD(2)=' [12]
1707		2
1707	12	',SQLERRD(3)=' [12]
1707		3
1707	12	',SQLERRD(4)=' [12]
1707		4
1707	12	',SQLERRD(5)=' [12]
1707		5
1707	12	',SQLERRD(6)=' [12]
1707		6
1708	4	'AFCR' [4]
1709	4	'AFCS' [4]
1710	4	'AFCT' [4]
1711	1	'Y' [1]
1712	42	'INQACC: Check-For-Storm-Drain-VSAM: Storm ' [42]
1712	23	'Drain condition (Abend ' [23]
1712	2	') ' [2]
1712	13	'has been met.' [13]
1723	1	':' [1]
1725	4	'HROL' [4]
1727		0
1728	44	'AH010 -Unable to perform SYNCPOINT ROLLBACK.' [44]
1728	45	' Possible integrity issue following VSAM RLS ' [45]
1728	7	' abend.' [7]
1728	9	' EIBRESP=' [9]
1728	7	' RESP2=' [7]
1730	36	'INQACC: Unable to perform Syncpoint ' [36]
1730	35	'Rollback. Possible Integrity issue ' [35]
1730	27	' following VSAM RLS abend. ' [27]
1730	11	' RESP CODE=' [11]
1730	12	' RESP2 CODE=' [12]
1731	4	'HROL' [4]
1733	1	'N' [1]
1736	1	'N' [1]
1745	1	':' [1]
1749		ZEROS
1750	24	'AH010 -WVS-STORM-DRAIN=N' [24]
1750	9	' EIBRESP=' [9]
1750	7	' RESP2=' [7]
1768		1
1769		ZERO
1779	1	':' [1]
1781	4	'HNCS' [4]
1784	21	'GLAD010 -ACCOUNT NCS ' [21]
1784	28	' CANNOT be accessed and DB2 ' [28]
1784	24	' SELECT failed. SQLCODE=' [24]
1786	21	'INQACC - ACCOUNT NCS ' [21]
1786	51	' CANNOT BE ACCESSED AND DB2 SELECT FAILED. SQLCODE=' [51]
1787	4	'HNCS' [4]
1833	1	X'E' [1]
1834	1	X'F' [1]
1835	8	'IGZSRTCD' [8]
1843		SPACE
1845		SPACE
1847		SPACE
1849		SPACE
1851		SPACE
1853		0
1854		0
1855		0
1856		SPACE
1863		0
1865		0
1866		0
1868	8	'BNK1UAC ' [8]
1869	1	' ' [1]
1870	6	' RESP=' [6]
1871		0
1872	7	' RESP2=' [7]
1873		0
1874	15	' ABENDING TASK.' [15]
1876	1	'Y' [1]
1877	1	'Y' [1]
1880	1	'1' [1]
1881	1	'2' [1]
1882	1	'3' [1]
1885	13	'Session Ended' [13]
1889	1	' ' [1]
1890	1	''' [1]
1891	1	'_' [1]
1892	1	'ö' [1]
1893	1	'=' [1]
1894	1	'W' [1]
1895	1	'X' [1]
1896	1	'h' [1]
1897	1	'"' [1]
1898	1	'%' [1]
1899	1	'>' [1]
1900	1	',' [1]
1901	1	'1' [1]
1902	1	'2' [1]
1903	1	'3' [1]
1904	1	'4' [1]
1905	1	'5' [1]
1906	1	'6' [1]
1907	1	'7' [1]
1908	1	'8' [1]
1909	1	'9' [1]
1910	1	':' [1]
1911	1	'#' [1]
1912	1	'§' [1]
1913	1	'A' [1]
1914	1	'B' [1]
1915	1	'C' [1]
1916	1	'D' [1]
1917	1	'E' [1]
1918	1	'F' [1]
1919	1	'G' [1]
1920	1	'H' [1]
1921	1	'I' [1]
1922	1	'Ä' [1]
1923	1	'.' [1]
1924	1	'<' [1]
1955		0
1956		0
1957		0
1958		0
1994	1	'.' [1]
1996	1	'.' [1]
2004	8	'ABNDPROC' [8]
2021	7	'BNK1UAC' [7]
2024		TRUE
2025		ZERO
2026		LOW-VALUE
2027		-1
2028		TRUE
2034	4	'OMEN' [4]
2046		LOW-VALUES
2047	20	'Invalid key pressed.' [20]
2048		-1
2049		TRUE
2052		ZERO
2066	4	'OUAC' [4]
2066		99
2076	1	':' [1]
2078	4	'HBNK' [4]
2080		ZEROS
2081	33	'A010 - RETURN TRANSID(OUAC) FAIL.' [33]
2081	9	' EIBRESP=' [9]
2081	7	' RESP2=' [7]
2084	42	'BNK1UAC - A010 - RETURN TRANSID(OUAC) FAIL' [42]
2094	1	'Y' [1]
2097	1	'Y' [1]
2103	1	'Y' [1]
2107		TRUE
2113	6	'BNK1UA' [6]
2113	7	'BNK1UAM' [7]
2123	1	':' [1]
2125	4	'HBNK' [4]
2127		ZEROS
2128	25	'RM010 - RECEIVE MAP FAIL.' [25]
2128	9	' EIBRESP=' [9]
2128	7	' RESP2=' [7]
2131	34	'BNKUAC - RM010 - RECEIVE MAP FAIL ' [34]
2140		NUMERIC
2141	34	'Please enter an account number.   ' [34]
2142	1	'N' [1]
2148	8	'CURRENT ' [8]
2148	8	'SAVING  ' [8]
2148	8	'LOAN    ' [8]
2148	8	'MORTGAGE' [8]
2148	8	'ISA     ' [8]
2149		SPACES
2150	44	'Account Type must be CURRENT, SAVING, LOAN, ' [44]
2150	15	'MORTGAGE or ISA' [15]
2150	17	'. Then press PF5.' [17]
2151		-1
2152	1	'N' [1]
2154		ZERO
2155		SPACES
2156	38	'Please supply a numeric interest rate ' [38]
2156	15	'then press PF5.' [15]
2157	1	'N' [1]
2158		-1
2161		1
2161		NUMERIC
2162		ZERO
2163		1
2163	1	'0' [1]
2163	1	'1' [1]
2163	1	'2' [1]
2163	1	'3' [1]
2163	1	'4' [1]
2163	1	'5' [1]
2163	1	'6' [1]
2163	1	'7' [1]
2163	1	'8' [1]
2163	1	'9' [1]
2163	1	'.' [1]
2163	1	'-' [1]
2163	1	'+' [1]
2163	1	' ' [1]
2165		SPACES
2166	37	'Please supply a numeric interest rate' [37]
2167	1	'N' [1]
2168		-1
2171		ZERO
2172		1
2172	1	'.' [1]
2173		1
2174	40	'Use one decimal point for interest rate ' [40]
2174	4	'only' [4]
2175	1	'N' [1]
2176		-1
2179		1
2180		ZERO
2181		1
2181	1	'.' [1]
2182		2
2183		ZERO
2184		1
2184	1	'.' [1]
2185		2
2186	1	'0' [1]
2186	1	'1' [1]
2186	1	'2' [1]
2186	1	'3' [1]
2186	1	'4' [1]
2186	1	'5' [1]
2186	1	'6' [1]
2186	1	'7' [1]
2186	1	'8' [1]
2186	1	'9' [1]
2186	1	'-' [1]
2186	1	'+' [1]
2186	1	'.' [1]
2187		2
2188		SPACES
2189	30	'Only up to two decimal places ' [30]
2189	13	'are supported' [13]
2190	1	'N' [1]
2191		-1
2198		0
2199		SPACES
2200	46	'Please supply a zero or positive interest rate' [46]
2201	1	'N' [1]
2202		-1
2205		9999.99
2206		SPACES
2207	41	'Please supply an interest rate less than ' [41]
2207	8	'9999.99%' [8]
2208	1	'N' [1]
2209		-1
2212	8	'LOAN    ' [8]
2212	7	'0000.00' [7]
2212	8	'MORTGAGE' [8]
2213		SPACES
2214	49	'Interest rate cannot be 0 with this account type.' [49]
2214	23	' Correct and press PF5.' [23]
2215	1	'N' [1]
2216		-1
2219		ZERO
2219		1
2219		NUMERIC
2220	49	'Overdraft must be numeric. Correct and press PF5.' [49]
2221	1	'N' [1]
2222		-1
2225		NUMERIC
2226	41	'Last statement date must be numeric      ' [41]
2227	1	'N' [1]
2230		NUMERIC
2231	41	'Next statement date must be numeric      ' [41]
2232	1	'N' [1]
2238		31
2238		0
2238		12
2239	40	'Incorrect date for LAST STATEMENT.      ' [40]
2240	1	'N' [1]
2242		31
2242		9
2242		4
2242		6
2242		11
2242		29
2242		2
2243	40	'Incorrect date for LAST STATEMENT.      ' [40]
2244	1	'N' [1]
2249		31
2249		9
2249		4
2249		6
2249		11
2249		29
2249		2
2250	40	'Incorrect date for NEXT STATEMENT.      ' [40]
2251	1	'N' [1]
2253		31
2253		9
2253		4
2253		6
2253		11
2253		29
2253		2
2254	40	'Incorrect date for NEXT STATEMENT.      ' [40]
2255	1	'N' [1]
2263		NULL
2264	6	'INQACC' [6]
2274	1	':' [1]
2276	4	'HBNK' [4]
2278		ZEROS
2279	27	'IAD010  - LINK INQACC FAIL.' [27]
2279	9	' EIBRESP=' [9]
2279	7	' RESP2=' [7]
2282	42	'BNK1UAC - IAD010 - LINK INQACC  FAIL      ' [42]
2287		SPACES
2287		ZERO
2288	1	'N' [1]
2289		SPACES
2290	38	'This account number could not be found' [38]
2291		-1
2294		SPACES
2295	50	'Please amend fields and hit <pf5> to apply changes' [50]
2319		-1
2327		99999999
2340		1
2349		0
2350		0
2351		0
2352		0
2354		100
2357	1	'-' [1]
2358		0
2361		0
2365		100
2368	1	'-' [1]
2369		0
2372		0
2375	1	' ' [1]
2376	6	'UPDACC' [6]
2386	1	':' [1]
2388	4	'HBNK' [4]
2390		ZEROS
2391	27	'UAD010  - LINK UPDACC FAIL.' [27]
2391	9	' EIBRESP=' [9]
2391	7	' RESP2=' [7]
2394	42	'BNK1UAC - UAD010 - LINK UPDACC  FAIL      ' [42]
2399	1	'N' [1]
2400	1	'N' [1]
2401		SPACES
2402	41	'Update unsuccessful, try again later.    ' [41]
2405		SPACES
2406	41	'Account update successfully applied.     ' [41]
2436	6	'BNK1UA' [6]
2436	7	'BNK1UAM' [7]
2446	1	':' [1]
2448	4	'HBNK' [4]
2450		ZEROS
2451	28	'SM010 - SEND MAP ERASE FAIL.' [28]
2451	9	' EIBRESP=' [9]
2451	7	' RESP2=' [7]
2454	38	'BNK1UAC - SM010 - SEND MAP ERASE FAIL ' [38]
2462	6	'BNK1UA' [6]
2462	7	'BNK1UAM' [7]
2472	1	':' [1]
2474	4	'HBNK' [4]
2476		ZEROS
2477	31	'SM010 - SEND MAP DATAONLY FAIL.' [31]
2477	9	' EIBRESP=' [9]
2477	7	' RESP2=' [7]
2480	41	'BNK1UAC - SM010 - SEND MAP DATAONLY FAIL ' [41]
2488	6	'BNK1UA' [6]
2488	7	'BNK1UAM' [7]
2498	1	':' [1]
2500	4	'HBNK' [4]
2502		ZEROS
2503	37	'SM010 - SEND MAP DATAONLY ALARM FAIL.' [37]
2503	9	' EIBRESP=' [9]
2503	7	' RESP2=' [7]
2506	47	'BNK1UAC - SM010 - SEND MAP DATAONLY ALARM FAIL ' [47]
2526	1	':' [1]
2528	4	'HBNK' [4]
2530		ZEROS
2531	24	'STM010 - SEND TEXT FAIL.' [24]
2531	9	' EIBRESP=' [9]
2531	7	' RESP2=' [7]
2534	33	'BNK1UAC - STM010 - SEND TEXT FAIL' [33]
2544	4	'HBNK' [4]
2563	1	X'E' [1]
2564	1	X'F' [1]
2565	8	'IGZSRTCD' [8]
2573		SPACE
2575		SPACE
2577		SPACE
2579		SPACE
2581		SPACE
2583		0
2584		0
2585		0
2586		SPACE
2593		0
2596	1	' ' [1]
2608		SPACES
2613		SPACES
2614		SPACES
2617		SPACE
2618		SPACE
2619		SPACE
2620		SPACE
2621		SPACE
2622		SPACE
2623		SPACE
2624		SPACE
2626		SPACE
2627		SPACE
2628		SPACE
2629		SPACE
2633	1	'N' [1]
2639		0
2663		+10
2664		0
2665		0
2667		0
2668		+14
2669		0
2670		+16
2671		0
