SrcID	SourceFile	Usage	RecordNumber	CommentNumber	RelevantNumber	Module
83	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/INQCUSTZ.cpy	CPY	0	0	0	INQCUSTZ.cpy
84	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/NEWACCNO.cpy	CPY	0	0	0	NEWACCNO.cpy
85	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/ABNDINFO.cpy	CPY	0	0	0	ABNDINFO.cpy
86	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/PAYDBCR.cpy	CPY	0	0	0	PAYDBCR.cpy
87	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CRECUST.cpy	CPY	0	0	0	CRECUST.cpy
88	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/GETSCODE.cpy	CPY	0	0	0	GETSCODE.cpy
89	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CUSTMAP.cpy	CPY	0	0	0	CUSTMAP.cpy
90	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/NEWCUSNO.cpy	CPY	0	0	0	NEWCUSNO.cpy
91	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/RESPSTR.cpy	CPY	0	0	0	RESPSTR.cpy
92	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/SORTCODE.cpy	CPY	0	0	0	SORTCODE.cpy
93	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CUSTCTRL.cpy	CPY	0	0	0	CUSTCTRL.cpy
94	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/INQACCCZ.cpy	CPY	0	0	0	INQACCCZ.cpy
95	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/UPDACC.cpy	CPY	0	0	0	UPDACC.cpy
96	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CONTROLI.cpy	CPY	0	0	0	CONTROLI.cpy
97	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/CUSTOMER.cpy	CPY	0	0	0	CUSTOMER.cpy
98	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/XFRFUN.cpy	CPY	0	0	0	XFRFUN.cpy
99	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/DELCUS.cpy	CPY	0	0	0	DELCUS.cpy
100	/projects/cics-banking-sample-application-cbsa/src/base/cobol_copy/BANKMAP.cpy	CPY	0	0	0	BANKMAP.cpy
