CodeID	ErrorCode	Error
727	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
728	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
728	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
728	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
741	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
750	10010	E-EMSG10010 Error: Variable not in symbol table: EIBAID
762	10010	E-EMSG10010 Error: Variable not in symbol table: BNK1DAI
763	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
765	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
765	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
766	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
766	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
767	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
768	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
768	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
769	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
769	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
771	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
772	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
773	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
774	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
775	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
776	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
777	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
777	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
777	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
789	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNOI
789	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNOL
790	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
794	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNOI
795	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNOI
796	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
805	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
806	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
807	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNOL
813	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-COMMAREA
814	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-PCB1-POINTER
815	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNOI
815	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-ACCNO
816	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-COMMAREA
817	10010	E-EMSG10010 Error: Variable not in symbol table: DFHRESP
819	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP
819	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
820	10010	E-EMSG10010 Error: Variable not in symbol table: EIBRESP2
820	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
821	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-APPLID
822	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTASKN
822	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TASKNO-KEY
823	10010	E-EMSG10010 Error: Variable not in symbol table: EIBTRNID
823	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TRANID
825	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-DATE
826	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-TIME
827	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-UTIME-KEY
828	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-CODE
829	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-PROGRAM
830	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-SQLCODE
831	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESPCODE
831	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-RESP2CODE
831	10010	E-EMSG10010 Error: Variable not in symbol table: ABND-FREEFORM
839	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-ACC-TYPE
839	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-INT-RATE
839	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-SUCCESS
840	10010	E-EMSG10010 Error: Variable not in symbol table: MESSAGEO
842	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
843	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOO
844	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNO2O
845	10010	E-EMSG10010 Error: Variable not in symbol table: ACTYPEO
846	10010	E-EMSG10010 Error: Variable not in symbol table: INTRTO
848	10010	E-EMSG10010 Error: Variable not in symbol table: OPENDDO
849	10010	E-EMSG10010 Error: Variable not in symbol table: OPENMMO
850	10010	E-EMSG10010 Error: Variable not in symbol table: OPENYYO
851	10010	E-EMSG10010 Error: Variable not in symbol table: OVERDRO
853	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTDDO
854	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTMMO
855	10010	E-EMSG10010 Error: Variable not in symbol table: LSTMTYYO
857	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTDDO
858	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTMMO
859	10010	E-EMSG10010 Error: Variable not in symbol table: NSTMTYYO
862	10010	E-EMSG10010 Error: Variable not in symbol table: AVBALO
863	10010	E-EMSG10010 Error: Variable not in symbol table: ACTBALO
866	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-SCODE
866	10010	E-EMSG10010 Error: Variable not in symbol table: SORTCO
867	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-CUSTNO
867	10010	E-EMSG10010 Error: Variable not in symbol table: CUSTNOO
868	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-ACCNO
868	10010	E-EMSG10010 Error: Variable not in symbol table: ACCNO2O
869	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-ACC-TYPE
869	10010	E-EMSG10010 Error: Variable not in symbol table: ACTYPEO
870	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-INT-RATE
870	10010	E-EMSG10010 Error: Variable not in symbol table: INTRTO
871	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-OPENED
872	10010	E-EMSG10010 Error: Variable not in symbol table: OPENDDO
873	10010	E-EMSG10010 Error: Variable not in symbol table: OPENMMO
874	10010	E-EMSG10010 Error: Variable not in symbol table: OPENYYO
875	10010	E-EMSG10010 Error: Variable not in symbol table: INQACC-OVERDRAFT
875	10010	E-EMSG10010 Error: Variable not in symbol table: OVERDRO
